fen,side,wdl,dtz
8/7B/8/8/8/8/8/K1k1B3 b - - 0 1,b,-2,-31
8/7B/8/8/8/8/8/K1k5 w - - 0 1,w,0,0
8/7B/8/8/8/8/8/K1k5 b - - 0 1,b,0,0
B7/8/8/8/8/8/8/K1k1B3 w - - 0 1,w,2,16
B7/8/8/8/8/8/8/K1k1B3 b - - 0 1,b,-2,-31
B7/8/8/8/8/8/8/K1k5 w - - 0 1,w,0,0
B7/8/8/8/8/8/8/K1k5 b - - 0 1,b,0,0
2B5/8/8/8/8/8/8/K1k1B3 w - - 0 1,w,2,16
2B5/8/8/8/8/8/8/K1k1B3 b - - 0 1,b,-2,-35
2B5/8/8/8/8/8/8/K1k5 w - - 0 1,w,0,0
2B5/8/8/8/8/8/8/K1k5 b - - 0 1,b,0,0
4B3/8/8/8/8/8/8/K1k1B3 w - - 0 1,w,2,16
4B3/8/8/8/8/8/8/K1k1B3 b - - 0 1,b,-2,-33
4B3/8/8/8/8/8/8/K1k5 w - - 0 1,w,0,0
4B3/8/8/8/8/8/8/K1k5 b - - 0 1,b,0,0
6B1/8/8/8/8/8/8/K1k1B3 w - - 0 1,w,2,16
6B1/8/8/8/8/8/8/K1k1B3 b - - 0 1,b,-2,-35
6B1/8/8/8/8/8/8/K1k5 w - - 0 1,w,0,0
6B1/8/8/8/8/8/8/K1k5 b - - 0 1,b,0,0
8/8/8/8/8/8/8/K1k2BB1 w - - 0 1,w,2,18
8/8/8/8/8/8/8/K1k2BB1 b - - 0 1,b,-2,-19
8/8/8/8/8/8/1B6/K1k2B2 b - - 0 1,b,-2,-21
8/8/8/8/8/8/3B4/K1k2B2 b - - 0 1,b,0,0
8/8/8/8/8/8/5B2/K1k2B2 w - - 0 1,w,2,16
8/8/8/8/8/8/5B2/K1k2B2 b - - 0 1,b,-2,-17
8/8/8/8/8/8/7B/K1k2B2 w - - 0 1,w,2,20
8/8/8/8/8/8/7B/K1k2B2 b - - 0 1,b,-2,-21
8/8/8/8/8/B7/8/K1k2B2 b - - 0 1,b,-2,-21
8/8/8/8/8/2B5/8/K1k2B2 w - - 0 1,w,2,14
8/8/8/8/8/2B5/8/K1k2B2 b - - 0 1,b,-2,-17
8/8/8/8/8/4B3/8/K1k2B2 b - - 0 1,b,-2,-19
8/8/8/8/8/6B1/8/K1k2B2 w - - 0 1,w,2,16
8/8/8/8/8/6B1/8/K1k2B2 b - - 0 1,b,-2,-19
8/8/8/8/1B6/8/8/K1k2B2 w - - 0 1,w,2,10
8/8/8/8/1B6/8/8/K1k2B2 b - - 0 1,b,-2,-13
8/8/8/8/3B4/8/8/K1k2B2 w - - 0 1,w,2,18
8/8/8/8/3B4/8/8/K1k2B2 b - - 0 1,b,-2,-19
8/8/8/8/5B2/8/8/K1k2B2 b - - 0 1,b,-2,-21
8/8/8/8/7B/8/8/K1k2B2 w - - 0 1,w,2,16
8/8/8/8/7B/8/8/K1k2B2 b - - 0 1,b,-2,-19
8/8/8/B7/8/8/8/K1k2B2 w - - 0 1,w,2,12
8/8/8/B7/8/8/8/K1k2B2 b - - 0 1,b,-2,-13
8/8/8/2B5/8/8/8/K1k2B2 w - - 0 1,w,2,14
8/8/8/2B5/8/8/8/K1k2B2 b - - 0 1,b,-2,-19
8/8/8/4B3/8/8/8/K1k2B2 w - - 0 1,w,2,18
8/8/8/4B3/8/8/8/K1k2B2 b - - 0 1,b,-2,-21
8/8/8/6B1/8/8/8/K1k2B2 b - - 0 1,b,-2,-21
8/8/1B6/8/8/8/8/K1k2B2 w - - 0 1,w,2,14
8/8/1B6/8/8/8/8/K1k2B2 b - - 0 1,b,-2,-19
8/8/3B4/8/8/8/8/K1k2B2 w - - 0 1,w,2,14
8/8/3B4/8/8/8/8/K1k2B2 b - - 0 1,b,-2,-21
8/8/5B2/8/8/8/8/K1k2B2 w - - 0 1,w,2,18
8/8/5B2/8/8/8/8/K1k2B2 b - - 0 1,b,-2,-21
8/8/7B/8/8/8/8/K1k2B2 b - - 0 1,b,-2,-21
8/B7/8/8/8/8/8/K1k2B2 w - - 0 1,w,2,18
8/B7/8/8/8/8/8/K1k2B2 b - - 0 1,b,-2,-19
8/2B5/8/8/8/8/8/K1k2B2 w - - 0 1,w,2,14
8/2B5/8/8/8/8/8/K1k2B2 b - - 0 1,b,-2,-21
8/4B3/8/8/8/8/8/K1k2B2 w - - 0 1,w,2,14
8/4B3/8/8/8/8/8/K1k2B2 b - - 0 1,b,-2,-21
8/6B1/8/8/8/8/8/K1k2B2 w - - 0 1,w,2,18
8/6B1/8/8/8/8/8/K1k2B2 b - - 0 1,b,-2,-21
1B6/8/8/8/8/8/8/K1k2B2 w - - 0 1,w,2,20
1B6/8/8/8/8/8/8/K1k2B2 b - - 0 1,b,-2,-21
3B4/8/8/8/8/8/8/K1k2B2 w - - 0 1,w,2,14
3B4/8/8/8/8/8/8/K1k2B2 b - - 0 1,b,-2,-21
5B2/8/8/8/8/8/8/K1k2B2 w - - 0 1,w,2,14
5B2/8/8/8/8/8/8/K1k2B2 b - - 0 1,b,-2,-21
7B/8/8/8/8/8/8/K1k2B2 w - - 0 1,w,2,18
7B/8/8/8/8/8/8/K1k2B2 b - - 0 1,b,-2,-21
8/8/8/8/8/8/8/K1k3BB w - - 0 1,w,2,22
