fen,side,wdl,dtz
8/8/8/5B2/8/2k5/8/2K5 w - - 0 1,w,0,0
B2B4/6k1/8/8/8/8/8/K7 w - - 0 1,w,2,26
8/8/8/8/8/6BB/8/2K3k1 w - - 0 1,w,2,12
8/8/8/8/k7/B7/8/2K5 w - - 0 1,w,0,0
4k3/8/8/8/1BB5/8/8/1K6 w - - 0 1,w,2,24
8/2k2B2/8/8/8/8/3B4/1K6 w - - 0 1,w,2,26
8/k7/8/1B6/7B/8/8/K7 w - - 0 1,w,2,22
1B6/8/6k1/3B4/8/8/8/2K5 w - - 0 1,w,2,28
3k4/8/8/8/8/8/8/K4B2 w - - 0 1,w,0,0
8/8/5k2/8/5B2/3B4/8/2K5 w - - 0 1,w,2,28
5BB1/8/8/8/8/2k5/8/K7 w - - 0 1,w,2,28
8/8/8/1k6/8/8/2BB4/2K5 w - - 0 1,w,2,32
1k6/8/8/8/4B2B/8/8/K7 w - - 0 1,w,2,26
6B1/8/8/8/8/8/3k1B2/1K6 w - - 0 1,w,2,18
8/8/5k2/B7/8/1B6/8/K7 w - - 0 1,w,2,30
8/6B1/6B1/8/8/8/8/2K2k2 w - - 0 1,w,2,22
8/8/8/8/8/3k4/1B6/K6B w - - 0 1,w,2,30
k7/8/7B/8/8/8/2B5/1K6 w - - 0 1,w,2,26
8/8/8/8/8/4B3/2B3k1/K7 w - - 0 1,w,2,22
8/8/8/5B2/8/k7/8/1K4B1 w - - 0 1,w,2,18
8/8/8/k7/8/6B1/6B1/K7 w - - 0 1,w,2,26
2B5/8/8/B7/4k3/8/8/1K6 w - - 0 1,w,2,32
8/8/3k4/3B4/8/8/1B6/1K6 w - - 0 1,w,2,30
8/8/6B1/8/8/5k2/1B6/K7 w - - 0 1,w,2,26
1B6/3B4/8/8/3k4/8/8/K7 w - - 0 1,w,2,32
8/8/8/8/3k1B2/8/2B5/1K6 w - - 0 1,w,2,32
8/8/2B5/8/5B2/2k5/8/1K6 w - - 0 1,w,2,24
8/8/3k4/B7/4B3/8/8/2K5 w - - 0 1,w,2,30
8/8/1k6/4B3/8/7B/8/1K6 w - - 0 1,w,2,28
8/8/2k5/8/8/2B5/2B5/1K6 w - - 0 1,w,2,30
1k6/8/8/8/8/8/8/1KB4B w - - 0 1,w,2,26
6k1/BB6/8/8/8/8/8/K7 w - - 0 1,w,2,30
8/5B2/8/8/1B6/7k/8/K7 w - - 0 1,w,2,28
8/8/6Bk/8/7B/8/8/K7 w - - 0 1,w,2,24
8/5B2/5k2/8/8/8/5B2/1K6 w - - 0 1,w,2,32
8/8/8/6k1/8/8/8/2K4B w - - 0 1,w,0,0
3k1B2/8/8/8/2B5/8/8/K7 w - - 0 1,w,2,22
8/6B1/8/8/k7/8/8/2K2B2 w - - 0 1,w,2,14
8/8/7B/3B4/1k6/8/8/1K6 w - - 0 1,w,2,26
8/8/2k5/8/2B5/8/8/1K2B3 w - - 0 1,w,2,26
3k4/8/6B1/2B5/8/8/8/K7 w - - 0 1,w,2,26
