fen,wdl,dtz
8/8/8/8/8/8/8/2K2k2 w - - 0 1,0,
8/8/8/8/8/8/8/2K2k2 b - - 0 1,0,
8/8/8/8/8/8/8/2K3k1 w - - 0 1,0,
8/8/8/8/8/8/8/2K3k1 b - - 0 1,0,
8/8/8/8/8/8/8/2K4k w - - 0 1,0,
8/8/8/8/8/8/8/2K4k b - - 0 1,0,
8/8/8/8/8/8/k7/2K5 w - - 0 1,0,
8/8/8/8/8/8/k7/2K5 b - - 0 1,0,
8/8/8/8/8/8/4k3/2K5 w - - 0 1,0,
8/8/8/8/8/8/4k3/2K5 b - - 0 1,0,
8/8/8/8/8/8/5k2/2K5 w - - 0 1,0,
8/8/8/8/8/8/5k2/2K5 b - - 0 1,0,
8/8/8/8/8/8/6k1/2K5 w - - 0 1,0,
8/8/8/8/8/8/6k1/2K5 b - - 0 1,0,
8/8/8/8/8/8/7k/2K5 w - - 0 1,0,
8/8/8/8/8/8/7k/2K5 b - - 0 1,0,
8/8/8/8/8/k7/8/2K5 w - - 0 1,0,
8/8/8/8/8/k7/8/2K5 b - - 0 1,0,
8/8/8/8/8/1k6/8/2K5 w - - 0 1,0,
8/8/8/8/8/1k6/8/2K5 b - - 0 1,0,
8/8/8/8/8/2k5/8/2K5 w - - 0 1,0,
8/8/8/8/8/2k5/8/2K5 b - - 0 1,0,
8/8/8/8/8/3k4/8/2K5 w - - 0 1,0,
8/8/8/8/8/3k4/8/2K5 b - - 0 1,0,
8/8/8/8/8/4k3/8/2K5 w - - 0 1,0,
8/8/8/8/8/4k3/8/2K5 b - - 0 1,0,
8/8/8/8/8/5k2/8/2K5 w - - 0 1,0,
8/8/8/8/8/5k2/8/2K5 b - - 0 1,0,
8/8/8/8/8/6k1/8/2K5 w - - 0 1,0,
8/8/8/8/8/6k1/8/2K5 b - - 0 1,0,
8/8/8/8/8/7k/8/2K5 w - - 0 1,0,
8/8/8/8/8/7k/8/2K5 b - - 0 1,0,
8/8/8/8/k7/8/8/2K5 w - - 0 1,0,
8/8/8/8/k7/8/8/2K5 b - - 0 1,0,
8/8/8/8/1k6/8/8/2K5 w - - 0 1,0,
8/8/8/8/1k6/8/8/2K5 b - - 0 1,0,
8/8/8/8/2k5/8/8/2K5 w - - 0 1,0,
8/8/8/8/2k5/8/8/2K5 b - - 0 1,0,
8/8/8/8/3k4/8/8/2K5 w - - 0 1,0,
8/8/8/8/3k4/8/8/2K5 b - - 0 1,0,
8/8/8/8/4k3/8/8/2K5 w - - 0 1,0,
8/8/8/8/4k3/8/8/2K5 b - - 0 1,0,
8/8/8/8/5k2/8/8/2K5 w - - 0 1,0,
8/8/8/8/5k2/8/8/2K5 b - - 0 1,0,
